cme_id,speed,type,linked_events,start time
2011-03-03T06:24:00-CME-001,400.0,S,[{'activityID': '2011-03-06T03:31:00-IPS-001'}],"03/03/2011, 06:24:00"
2011-03-03T21:24:00-CME-001,540.0,C,,"03/03/2011, 21:24:00"
2011-03-04T05:36:00-CME-001,400.0,S,,"03/04/2011, 05:36:00"
2011-03-07T14:40:00-CME-001,710.0,C,"[{'activityID': '2011-03-07T13:44:00-FLR-001'}, {'activityID': '2011-03-07T18:00:00-SEP-001'}, {'activityID': '2011-03-10T07:00:00-IPS-001'}, {'activityID': '2011-03-11T21:00:00-GST-001'}]","03/07/2011, 14:40:00"
2011-03-07T20:12:00-CME-001,1980.0,O,"[{'activityID': '2011-03-07T19:43:00-FLR-001'}, {'activityID': '2011-03-08T01:00:00-SEP-001'}, {'activityID': '2011-03-08T01:05:00-SEP-001'}, {'activityID': '2011-03-09T06:47:00-IPS-001'}, {'activityID': '2011-03-11T21:00:00-GST-001'}]","03/07/2011, 20:12:00"
2011-03-08T05:00:00-CME-001,840.0,C,"[{'activityID': '2011-03-08T03:37:00-FLR-001'}, {'activityID': '2011-03-11T05:23:00-IPS-001'}]","03/08/2011, 05:00:00"
2011-03-08T20:50:00-CME-001,550.0,C,[{'activityID': '2011-03-12T00:25:00-IPS-001'}],"03/08/2011, 20:50:00"
2011-03-12T02:00:00-CME-001,700.0,C,,"03/12/2011, 02:00:00"
2011-03-14T07:24:00-CME-001,360.0,S,,"03/14/2011, 07:24:00"
2011-03-16T20:18:00-CME-001,690.0,C,[{'activityID': '2011-03-19T11:00:00-IPS-001'}],"03/16/2011, 20:18:00"
2011-03-17T13:09:00-CME-001,900.0,C,[{'activityID': '2011-03-20T15:46:00-IPS-001'}],"03/17/2011, 13:09:00"
