class_type,end_time(zulu),flare_id,linked_events,peak_time(zulu),power(w/m^2),start_time(zulu)
X1.9,"09/24/2011, 09:48:00",2011-09-24T09:21:00-FLR-001,[{'activityID': '2011-09-24T11:50:00-SEP-001'}],"09/24/2011, 09:40:00",0.00019,"09/24/2011, 09:21:00"
M7.1,"09/24/2011, 14:10:00",2011-09-24T12:33:00-FLR-001,['None Found.'],"09/24/2011, 13:20:00",7.1e-05,"09/24/2011, 12:33:00"
M5.8,"09/24/2011, 20:42:00",2011-09-24T20:29:00-FLR-001,[{'activityID': '2011-09-24T20:45:00-SEP-001'}],"09/24/2011, 20:36:00",5.8e-05,"09/24/2011, 20:29:00"
M8.8,"09/25/2011, 05:05:00",2011-09-25T04:31:00-FLR-001,['None Found.'],"09/25/2011, 04:50:00",8.800000000000001e-05,"09/25/2011, 04:31:00"
X1.9,"11/03/2011, 20:32:00",2011-11-03T20:16:00-FLR-001,['None Found.'],"11/03/2011, 20:27:00",0.00019,"11/03/2011, 20:16:00"
M8.7,"01/23/2012, 04:34:00",2012-01-23T03:38:00-FLR-001,"[{'activityID': '2012-01-23T04:00:00-CME-001'}, {'activityID': '2012-01-23T04:49:00-SEP-001'}, {'activityID': '2012-01-23T05:00:00-SEP-001'}, {'activityID': '2012-01-23T05:30:00-SEP-001'}, {'activityID': '2012-01-23T08:15:00-SEP-001'}, {'activityID': '2012-01-24T06:30:00-SEP-001'}]","01/23/2012, 03:59:00",8.7e-05,"01/23/2012, 03:38:00"
X1.8,"01/27/2012, 18:56:00",2012-01-27T17:37:00-FLR-001,"[{'activityID': '2012-01-27T16:39:00-CME-001'}, {'activityID': '2012-01-27T23:35:00-SEP-001'}]","01/27/2012, 18:37:00",0.00018,"01/27/2012, 17:37:00"
X1.1,"03/05/2012, 04:43:00",2012-03-05T03:30:00-FLR-001,[{'activityID': '2012-03-05T04:00:00-CME-001'}],"03/05/2012, 04:05:00",0.00011000000000000002,"03/05/2012, 03:30:00"
X5.4,"03/07/2012, 00:40:00",2012-03-07T00:00:00-FLR-001,"[{'activityID': '2012-03-07T00:36:00-CME-001'}, {'activityID': '2012-03-07T01:25:00-CME-001'}, {'activityID': '2012-03-07T01:44:00-SEP-001'}, {'activityID': '2012-03-07T04:05:00-SEP-001'}, {'activityID': '2012-03-07T05:00:00-SEP-001'}]","03/07/2012, 00:24:00",0.0005400000000000001,"03/07/2012, 00:02:00"
X1.3,"03/07/2012, 01:23:00",2012-03-07T01:05:00-FLR-001,"[{'activityID': '2012-03-07T00:36:00-CME-001'}, {'activityID': '2012-03-07T01:25:00-CME-001'}, {'activityID': '2012-03-07T01:44:00-SEP-001'}, {'activityID': '2012-03-07T04:05:00-SEP-001'}, {'activityID': '2012-03-07T05:00:00-SEP-001'}]","03/07/2012, 01:14:00",0.00013000000000000002,"03/07/2012, 01:05:00"
M6.3,"03/09/2012, 04:18:00",2012-03-09T03:22:00-FLR-001,[{'activityID': '2012-03-09T04:25:00-CME-001'}],"03/09/2012, 03:53:00",6.3e-05,"03/09/2012, 03:22:00"
C8.0,"03/10/2012, 16:16:00",2012-03-10T14:43:00-FLR-001,[{'activityID': '2012-03-10T16:24:00-CME-001'}],"03/10/2012, 15:52:00",8e-06,"03/10/2012, 14:43:00"
M5.4,"03/10/2012, 17:32:00",2012-03-10T17:15:00-FLR-001,[{'activityID': '2012-03-10T18:09:00-CME-001'}],"03/10/2012, 17:27:00",5.4000000000000005e-05,"03/10/2012, 17:15:00"
M8.4,"03/10/2012, 18:30:00",2012-03-10T17:32:00-FLR-001,[{'activityID': '2012-03-10T18:09:00-CME-001'}],"03/10/2012, 17:44:00",8.400000000000001e-05,"03/10/2012, 17:32:00"
M7.9,"03/13/2012, 18:25:00",2012-03-13T16:21:00-FLR-001,"[{'activityID': '2012-03-13T17:52:00-CME-001'}, {'activityID': '2012-03-13T18:10:00-SEP-001'}]","03/13/2012, 17:41:00",7.900000000000001e-05,"03/13/2012, 16:21:00"
M5.7,"05/10/2012, 04:23:00",2012-05-10T04:11:00-FLR-001,['None Found.'],"05/10/2012, 04:18:00",5.7e-05,"05/10/2012, 04:11:00"
M5.1,"05/17/2012, 02:14:00",2012-05-17T00:30:00-FLR-001,"[{'activityID': '2012-05-17T01:48:00-CME-001'}, {'activityID': '2012-05-17T02:10:00-SEP-001'}]","05/17/2012, 01:47:00",5.1e-05,"05/17/2012, 00:30:00"
M1.2,"06/13/2012, 14:31:00",2012-06-13T11:29:00-FLR-001,[{'activityID': '2012-06-13T14:00:00-CME-001'}],"06/13/2012, 13:17:00",1.2e-05,"06/13/2012, 11:29:00"
M1.9,"06/14/2012, 15:56:00",2012-06-14T12:52:00-FLR-001,[{'activityID': '2012-06-14T14:09:00-CME-001'}],"06/14/2012, 14:35:00",1.9e-05,"06/14/2012, 12:52:00"
M5.6,"07/02/2012, 10:57:00",2012-07-02T10:43:00-FLR-001,['None Found.'],"07/02/2012, 10:52:00",5.6e-05,"07/02/2012, 10:43:00"
M5.3,"07/04/2012, 09:57:00",2012-07-04T09:47:00-FLR-001,['None Found.'],"07/04/2012, 09:55:00",5.3e-05,"07/04/2012, 09:47:00"
M6.1,"07/05/2012, 11:49:00",2012-07-05T11:39:00-FLR-001,['None Found.'],"07/05/2012, 11:44:00",6.1e-05,"07/05/2012, 11:39:00"
X1.1,"07/06/2012, 23:14:00",2012-07-06T23:01:00-FLR-001,"[{'activityID': '2012-07-06T23:12:00-CME-001'}, {'activityID': '2012-07-07T04:00:00-SEP-001'}]","07/06/2012, 23:08:00",0.00011000000000000002,"07/06/2012, 23:01:00"
M6.9,"07/08/2012, 16:42:00",2012-07-08T16:23:00-FLR-001,[{'activityID': '2012-07-09T01:20:00-SEP-001'}],"07/08/2012, 16:32:00",6.900000000000001e-05,"07/08/2012, 16:23:00"
X1.4,"07/12/2012, 17:30:00",2012-07-12T15:37:00-FLR-001,"[{'activityID': '2012-07-12T16:54:00-CME-001'}, {'activityID': '2012-07-12T17:50:00-SEP-001'}, {'activityID': '2012-07-12T18:18:00-SEP-001'}, {'activityID': '2012-07-12T18:35:00-SEP-001'}]","07/12/2012, 16:49:00",0.00014,"07/12/2012, 15:37:00"
M1.8,"07/17/2012, 19:04:00",2012-07-17T12:03:00-FLR-001,"[{'activityID': '2012-07-17T14:24:00-CME-001'}, {'activityID': '2012-07-17T16:30:00-SEP-001'}]","07/17/2012, 17:15:00",1.8e-05,"07/17/2012, 12:03:00"
M7.7,"07/19/2012, 06:56:00",2012-07-19T04:17:00-FLR-001,[{'activityID': '2012-07-19T05:36:00-CME-001'}],"07/19/2012, 05:58:00",7.7e-05,"07/19/2012, 04:17:00"
M6.2,"07/28/2012, 21:04:00",2012-07-28T20:44:00-FLR-001,[{'activityID': '2012-07-28T21:24:00-CME-001'}],"07/28/2012, 20:56:00",6.2e-05,"07/28/2012, 20:44:00"
M5.5,"08/18/2012, 01:07:00",2012-08-18T00:24:00-FLR-001,['None Found.'],"08/18/2012, 01:02:00",5.5e-05,"08/18/2012, 00:24:00"
C8.4,"08/31/2012, 21:51:00",2012-08-31T19:45:00-FLR-001,[{'activityID': '2012-08-31T20:36:00-CME-001'}],"08/31/2012, 20:43:00",8.4e-06,"08/31/2012, 19:45:00"
