class_type,end_time(zulu),flare_id,linked_events,peak_time(zulu),power(w/m^2),start_time(zulu)
M1.3,"02/02/2014, 22:04:00",2014-02-02T21:24:00-FLR-001,['None Found.'],"02/02/2014, 22:14:00",1.3000000000000001e-05,"02/02/2014, 21:24:00"
M3.8,"02/04/2014, 01:31:00",2014-02-04T01:16:00-FLR-001,['None Found.'],"02/04/2014, 01:23:00",3.8e-05,"02/04/2014, 01:16:00"
M1.2,"02/04/2014, 03:48:00",2014-02-04T02:40:00-FLR-001,['None Found.'],"02/04/2014, 03:06:00",1.2e-05,"02/04/2014, 02:40:00"
M5.2,"02/04/2014, 04:06:00",2014-02-04T03:57:00-FLR-001,['None Found.'],"02/04/2014, 04:00:00",5.2000000000000004e-05,"02/04/2014, 03:57:00"
M1.4,"02/04/2014, 09:58:00",2014-02-04T09:38:00-FLR-001,['None Found.'],"02/04/2014, 09:49:00",1.4e-05,"02/04/2014, 09:38:00"
M1.5,"02/04/2014, 16:49:00",2014-02-04T15:25:00-FLR-001,['None Found.'],"02/04/2014, 16:02:00",1.5000000000000002e-05,"02/04/2014, 15:25:00"
M1.3,"02/05/2014, 16:42:00",2014-02-05T16:11:00-FLR-001,['None Found.'],"02/05/2014, 16:20:00",1.3000000000000001e-05,"02/05/2014, 16:11:00"
M1.5,"02/06/2014, 23:05:00",2014-02-06T22:56:00-FLR-001,['None Found.'],"02/06/2014, 23:03:00",1.5000000000000002e-05,"02/06/2014, 22:56:00"
M2.0,"02/07/2014, 04:56:00",2014-02-07T04:47:00-FLR-001,['None Found.'],"02/07/2014, 04:53:00",2e-05,"02/07/2014, 04:47:00"
M1.9,"02/07/2014, 10:31:00",2014-02-07T10:25:00-FLR-001,['None Found.'],"02/07/2014, 10:29:00",1.9e-05,"02/07/2014, 10:25:00"
M1.0,"02/09/2014, 16:52:00",2014-02-09T15:40:00-FLR-001,[{'activityID': '2014-02-09T16:12:00-CME-001'}],"02/09/2014, 16:14:00",1e-05,"02/09/2014, 15:40:00"
M1.7,"02/11/2014, 03:39:00",2014-02-11T03:22:00-FLR-001,[{'activityID': '2014-02-11T05:24:00-CME-001'}],"02/11/2014, 03:31:00",1.7e-05,"02/11/2014, 03:22:00"
M1.8,"02/11/2014, 17:30:00",2014-02-11T16:34:00-FLR-001,['None Found.'],"02/11/2014, 16:51:00",1.8e-05,"02/11/2014, 16:34:00"
M3.7,"02/12/2014, 04:38:00",2014-02-12T03:52:00-FLR-001,['None Found.'],"02/12/2014, 04:25:00",3.7000000000000005e-05,"02/12/2014, 03:52:00"
M2.3,"02/12/2014, 07:04:00",2014-02-12T06:54:00-FLR-001,['None Found.'],"02/12/2014, 06:58:00",2.3e-05,"02/12/2014, 06:54:00"
M2.1,"02/12/2014, 16:15:00",2014-02-12T15:41:00-FLR-001,['None Found.'],"02/12/2014, 15:51:00",2.1000000000000002e-05,"02/12/2014, 15:41:00"
M1.8,"02/13/2014, 01:50:00",2014-02-13T01:32:00-FLR-001,['None Found.'],"02/13/2014, 01:40:00",1.8e-05,"02/13/2014, 01:32:00"
M1.0,"02/13/2014, 03:04:00",2014-02-13T02:41:00-FLR-001,['None Found.'],"02/13/2014, 02:51:00",1e-05,"02/13/2014, 02:41:00"
M1.7,"02/13/2014, 06:13:00",2014-02-13T05:49:00-FLR-001,['None Found.'],"02/13/2014, 06:07:00",1.7e-05,"02/13/2014, 05:49:00"
M1.8,"02/13/2014, 08:19:00",2014-02-13T08:05:00-FLR-001,['None Found.'],"02/13/2014, 08:12:00",1.8e-05,"02/13/2014, 08:05:00"
M1.4,"02/13/2014, 16:06:00",2014-02-13T15:45:00-FLR-001,['None Found.'],"02/13/2014, 15:57:00",1.4e-05,"02/13/2014, 15:45:00"
M2.3,"02/14/2014, 02:57:00",2014-02-14T02:40:00-FLR-001,['None Found.'],"02/14/2014, 02:53:00",2.3e-05,"02/14/2014, 02:40:00"
M1.6,"02/14/2014, 12:45:00",2014-02-14T12:29:00-FLR-001,['None Found.'],"02/14/2014, 12:40:00",1.6000000000000003e-05,"02/14/2014, 12:29:00"
M1.1,"02/14/2014, 13:39:00",2014-02-14T13:21:00-FLR-001,['None Found.'],"02/14/2014, 13:28:00",1.1000000000000001e-05,"02/14/2014, 13:21:00"
M1.0,"02/14/2014, 16:42:00",2014-02-14T16:33:00-FLR-001,['None Found.'],"02/14/2014, 16:39:00",1e-05,"02/14/2014, 16:33:00"
M1.1,"02/23/2014, 06:36:00",2014-02-23T05:50:00-FLR-001,['None Found.'],"02/23/2014, 06:09:00",1.1000000000000001e-05,"02/23/2014, 05:50:00"
X4.9,"02/25/2014, 01:03:00",2014-02-25T00:41:00-FLR-001,"[{'activityID': '2014-02-25T01:25:00-CME-001'}, {'activityID': '2014-02-25T06:05:00-SEP-001'}, {'activityID': '2014-02-25T13:55:00-SEP-001'}]","02/25/2014, 00:49:00",0.0004900000000000001,"02/25/2014, 00:41:00"
M1.1,"02/26/2014, 15:10:00",2014-02-26T14:52:00-FLR-001,['None Found.'],"02/26/2014, 15:01:00",1.1000000000000001e-05,"02/26/2014, 14:52:00"
M1.1,"02/28/2014, 00:50:00",2014-02-28T00:44:00-FLR-001,['None Found.'],"02/28/2014, 00:48:00",1.1000000000000001e-05,"02/28/2014, 00:44:00"
M1.4,"03/08/2014, 00:30:00",2014-03-08T23:26:00-FLR-001,['None Found.'],"03/08/2014, 23:41:00",1.4e-05,"03/08/2014, 23:26:00"
M1.0,"03/09/2014, 14:05:00",2014-03-09T13:52:00-FLR-001,['None Found.'],"03/09/2014, 13:58:00",1e-05,"03/09/2014, 13:52:00"
M1.0,"03/09/2014, 20:35:00",2014-03-09T20:13:00-FLR-001,['None Found.'],"03/09/2014, 20:28:00",1e-05,"03/09/2014, 20:13:00"
M1.1,"03/10/2014, 00:33:00",2014-03-10T00:19:00-FLR-001,['None Found.'],"03/10/2014, 00:26:00",1.1000000000000001e-05,"03/10/2014, 00:19:00"
M1.7,"03/10/2014, 15:32:00",2014-03-10T15:21:00-FLR-001,['None Found.'],"03/10/2014, 15:28:00",1.7e-05,"03/10/2014, 15:21:00"
M1.4,"03/10/2014, 23:12:00",2014-03-10T22:45:00-FLR-001,['None Found.'],"03/10/2014, 23:00:00",1.4e-05,"03/10/2014, 22:45:00"
M3.5,"03/11/2014, 03:56:00",2014-03-11T03:44:00-FLR-001,['None Found.'],"03/11/2014, 03:50:00",3.5000000000000004e-05,"03/11/2014, 03:44:00"
M1.7,"03/11/2014, 12:17:00",2014-03-11T11:59:00-FLR-001,['None Found.'],"03/11/2014, 12:07:00",1.7e-05,"03/11/2014, 11:59:00"
M2.5,"03/12/2014, 11:11:00",2014-03-12T10:55:00-FLR-001,['None Found.'],"03/12/2014, 11:05:00",2.5e-05,"03/12/2014, 10:55:00"
M9.3,"03/12/2014, 22:39:00",2014-03-12T22:28:00-FLR-001,['None Found.'],"03/12/2014, 22:34:00",9.300000000000001e-05,"03/12/2014, 22:28:00"
M1.2,"03/13/2014, 19:30:00",2014-03-13T19:03:00-FLR-001,['None Found.'],"03/13/2014, 19:19:00",1.2e-05,"03/13/2014, 19:03:00"
M1.7,"03/20/2014, 04:08:00",2014-03-20T03:42:00-FLR-001,['None Found.'],"03/20/2014, 03:56:00",1.7e-05,"03/20/2014, 03:42:00"
M1.1,"03/22/2014, 07:05:00",2014-03-22T06:58:00-FLR-001,['None Found.'],"03/22/2014, 07:02:00",1.1000000000000001e-05,"03/22/2014, 06:58:00"
M2.0,"03/28/2014, 19:27:00",2014-03-28T19:04:00-FLR-001,['None Found.'],"03/28/2014, 19:18:00",2e-05,"03/28/2014, 19:04:00"
M2.6,"03/29/2014, 00:05:00",2014-03-28T23:44:00-FLR-001,['None Found.'],"03/28/2014, 23:51:00",2.6000000000000002e-05,"03/28/2014, 23:44:00"
X1.0,"03/29/2014, 17:54:00",2014-03-29T17:36:00-FLR-001,[{'activityID': '2014-03-29T18:39:00-CME-001'}],"03/29/2014, 17:48:00",0.0001,"03/29/2014, 17:36:00"
M2.1,"03/30/2014, 12:02:00",2014-03-30T11:48:00-FLR-001,['None Found.'],"03/30/2014, 11:55:00",2.1000000000000002e-05,"03/30/2014, 11:48:00"
M1.4,"03/31/2014, 08:18:00",2014-03-31T07:20:00-FLR-001,['None Found.'],"03/31/2014, 08:07:00",1.4e-05,"03/31/2014, 07:20:00"
M6.5,"04/02/2014, 14:28:00",2014-04-02T13:18:00-FLR-001,"[{'activityID': '2014-04-02T13:55:00-CME-001'}, {'activityID': '2014-04-02T15:55:00-SEP-001'}]","04/02/2014, 14:05:00",6.500000000000001e-05,"04/02/2014, 13:18:00"
M1.0,"04/16/2014, 20:04:00",2014-04-16T19:54:00-FLR-001,['None Found.'],"04/16/2014, 19:59:00",1e-05,"04/16/2014, 19:54:00"
M7.3,"04/18/2014, 13:20:00",2014-04-18T12:31:00-FLR-001,"[{'activityID': '2014-04-18T13:09:00-CME-001'}, {'activityID': '2014-04-18T15:25:00-SEP-001'}, {'activityID': '2014-04-18T21:51:00-SEP-001'}]","04/18/2014, 13:03:00",7.3e-05,"04/18/2014, 12:31:00"
C3.6,"04/22/2014, 06:06:00",2014-04-22T05:25:00-FLR-001,['None Found.'],"04/22/2014, 05:47:00",3.6e-06,"04/22/2014, 05:25:00"
X1.3,"04/25/2014, 00:38:00",2014-04-25T00:17:00-FLR-001,[{'activityID': '2014-04-25T00:48:00-CME-001'}],"04/25/2014, 00:27:00",0.00013000000000000002,"04/25/2014, 00:17:00"
M1.8,"05/06/2014, 09:24:00",2014-05-06T08:40:00-FLR-001,[{'activityID': '2014-05-06T09:12:00-CME-001'}],"05/06/2014, 09:03:00",1.8e-05,"05/06/2014, 08:40:00"
M1.0,"05/06/2014, 22:20:00",2014-05-06T22:01:00-FLR-001,[{'activityID': '2014-05-06T22:17:00-CME-001'}],"05/06/2014, 22:09:00",1e-05,"05/06/2014, 22:01:00"
M1.2,"05/07/2014, 13:03:00",2014-05-07T16:07:00-FLR-001,[{'activityID': '2014-05-07T16:39:00-CME-001'}],"05/07/2014, 16:29:00",1.2e-05,"05/07/2014, 16:07:00"
M5.2,"05/08/2014, 10:18:00",2014-05-08T09:59:00-FLR-001,['None Found.'],"05/08/2014, 10:07:00",5.2000000000000004e-05,"05/08/2014, 09:59:00"
M1.3,"05/24/2014, 18:44:00",2014-05-24T18:26:00-FLR-001,['None Found.'],"05/24/2014, 18:35:00",1.3000000000000001e-05,"05/24/2014, 18:26:00"
M1.3,"06/03/2014, 04:17:00",2014-06-03T03:58:00-FLR-001,['None Found.'],"06/03/2014, 04:09:00",1.3000000000000001e-05,"06/03/2014, 03:58:00"
M1.4,"06/06/2014, 19:36:00",2014-06-06T19:28:00-FLR-001,['None Found.'],"06/06/2014, 19:31:00",1.4e-05,"06/06/2014, 19:28:00"
C2.4,"06/10/2014, 06:44:00",2014-06-10T06:20:00-FLR-001,['None Found.'],"06/10/2014, 06:28:00",2.4e-06,"06/10/2014, 06:20:00"
C1.7,"06/10/2014, 07:10:00",2014-06-10T06:59:00-FLR-001,['None Found.'],"06/10/2014, 07:00:00",1.6999999999999998e-06,"06/10/2014, 06:59:00"
C3.9,"06/10/2014, 08:46:00",2014-06-10T08:19:00-FLR-001,['None Found.'],"06/10/2014, 08:42:00",3.9e-06,"06/10/2014, 08:19:00"
C5.0,"06/10/2014, 10:44:00",2014-06-10T10:04:00-FLR-001,['None Found.'],"06/10/2014, 10:17:00",4.9999999999999996e-06,"06/10/2014, 10:04:00"
X2.2,"06/10/2014, 11:47:00",2014-06-10T11:38:00-FLR-001,[{'activityID': '2014-06-10T12:24:00-CME-001'}],"06/10/2014, 11:42:00",0.00022000000000000003,"06/10/2014, 11:38:00"
X1.5,"06/10/2014, 13:07:00",2014-06-10T12:38:00-FLR-001,[{'activityID': '2014-06-10T13:09:00-CME-001'}],"06/10/2014, 12:52:00",0.00015000000000000001,"06/10/2014, 12:38:00"
M1.8,"06/11/2014, 05:36:00",2014-06-11T05:30:00-FLR-001,['None Found.'],"06/11/2014, 05:34:00",1.8e-05,"06/11/2014, 05:30:00"
M3.0,"06/11/2014, 08:15:00",2014-06-11T08:00:00-FLR-001,['None Found.'],"06/11/2014, 08:09:00",3.0000000000000004e-05,"06/11/2014, 08:00:00"
X1.0,"06/11/2014, 09:10:00",2014-06-11T08:59:00-FLR-001,['None Found.'],"06/11/2014, 09:06:00",0.0001,"06/11/2014, 08:59:00"
M3.9,"06/11/2014, 21:10:00",2014-06-11T20:53:00-FLR-001,['None Found.'],"06/11/2014, 21:03:00",3.9e-05,"06/11/2014, 20:53:00"
M2.0,"06/12/2014, 04:32:00",2014-06-12T04:14:00-FLR-001,['None Found.'],"06/12/2014, 04:21:00",2e-05,"06/12/2014, 04:14:00"
M1.8,"06/12/2014, 09:44:00",2014-06-12T09:24:00-FLR-001,['None Found.'],"06/12/2014, 09:37:00",1.8e-05,"06/12/2014, 09:24:00"
M2.7,"06/12/2014, 10:45:00",2014-06-12T10:14:00-FLR-001,['None Found.'],"06/12/2014, 10:21:00",2.7000000000000002e-05,"06/12/2014, 10:14:00"
M1.3,"06/12/2014, 18:23:00",2014-06-12T18:03:00-FLR-001,['None Found.'],"06/12/2014, 18:13:00",1.3000000000000001e-05,"06/12/2014, 18:03:00"
M1.1,"06/12/2014, 20:05:00",2014-06-12T19:56:00-FLR-001,['None Found.'],"06/12/2014, 20:03:00",1.1000000000000001e-05,"06/12/2014, 19:56:00"
M1.0,"06/12/2014, 21:19:00",2014-06-12T21:01:00-FLR-001,['None Found.'],"06/12/2014, 21:13:00",1e-05,"06/12/2014, 21:01:00"
M3.1,"06/12/2014, 22:52:00",2014-06-12T21:39:00-FLR-001,[{'activityID': '2014-06-12T22:12:00-CME-001'}],"06/12/2014, 22:16:00",3.1e-05,"06/12/2014, 21:39:00"
M2.6,"06/13/2014, 07:59:00",2014-06-13T07:49:00-FLR-001,['None Found.'],"06/13/2014, 07:56:00",2.6000000000000002e-05,"06/13/2014, 07:49:00"
M1.4,"06/14/2014, 19:34:00",2014-06-14T19:25:00-FLR-001,[{'activityID': '2014-06-14T19:48:00-CME-001'}],"06/14/2014, 19:29:00",1.4e-05,"06/14/2014, 19:25:00"
M1.1,"06/15/2014, 11:50:00",2014-06-15T11:10:00-FLR-001,['None Found.'],"06/15/2014, 11:39:00",1.1000000000000001e-05,"06/15/2014, 11:10:00"
M1.0,"06/15/2014, 00:17:00",2014-06-15T23:44:00-FLR-001,['None Found.'],"06/16/2014, 00:01:00",1e-05,"06/15/2014, 23:44:00"
M1.4,"07/01/2014, 11:50:00",2014-07-01T11:04:00-FLR-001,[{'activityID': '2014-07-01T12:39:00-CME-001'}],"07/01/2014, 11:23:00",1.4e-05,"07/01/2014, 11:04:00"
M6.5,"07/08/2014, 16:30:00",2014-07-08T16:08:00-FLR-001,[{'activityID': '2014-07-08T16:54:00-CME-001'}],"07/08/2014, 16:20:00",6.500000000000001e-05,"07/08/2014, 16:08:00"
M1.2,"07/09/2014, 00:33:00",2014-07-09T00:20:00-FLR-001,['None Found.'],"07/09/2014, 00:26:00",1.2e-05,"07/09/2014, 00:20:00"
M1.5,"07/10/2014, 22:37:00",2014-07-10T22:30:00-FLR-001,['None Found.'],"07/10/2014, 22:34:00",1.5000000000000002e-05,"07/10/2014, 22:30:00"
M2.5,"07/31/2014, 11:21:00",2014-07-31T11:01:00-FLR-001,['None Found.'],"07/31/2014, 11:14:00",2.5e-05,"07/31/2014, 11:01:00"
M2.0,"08/01/2014, 14:57:00",2014-08-01T14:46:00-FLR-001,['None Found.'],"08/01/2014, 14:48:00",2e-05,"08/01/2014, 14:46:00"
M1.5,"08/01/2014, 18:48:00",2014-08-01T18:00:00-FLR-001,[{'activityID': '2014-08-01T18:54:00-CME-001'}],"08/01/2014, 18:12:00",1.5000000000000002e-05,"08/01/2014, 18:00:00"
M3.4,"08/21/2014, 13:31:00",2014-08-21T13:19:00-FLR-001,[{'activityID': '2014-08-21T14:36:00-CME-001'}],"08/21/2014, 13:31:00",3.4e-05,"08/21/2014, 13:19:00"
M1.2,"08/22/2014, 06:24:00",2014-08-22T06:18:00-FLR-001,['None Found.'],"08/22/2014, 06:28:00",1.2e-05,"08/22/2014, 06:18:00"
M5.9,"08/24/2014, 12:25:00",2014-08-24T12:00:00-FLR-001,['None Found.'],"08/24/2014, 12:17:00",5.900000000000001e-05,"08/24/2014, 12:00:00"
M2.0,"08/25/2014, 15:11:00",2014-08-25T14:46:00-FLR-001,[{'activityID': '2014-08-25T15:36:00-CME-001'}],"08/25/2014, 15:10:00",2e-05,"08/25/2014, 14:46:00"
M3.9,"08/25/2014, 20:29:00",2014-08-25T20:06:00-FLR-001,[{'activityID': '2014-08-25T21:24:00-CME-001'}],"08/25/2014, 20:21:00",3.9e-05,"08/25/2014, 20:06:00"
M2.5,"09/03/2014, 13:54:00",2014-09-03T13:20:00-FLR-001,[{'activityID': '2014-09-03T14:12:00-CME-001'}],"09/03/2014, 13:53:00",2.5e-05,"09/03/2014, 13:20:00"
M1.1,"09/06/2014, 17:22:00",2014-09-06T16:50:00-FLR-001,['None Found.'],"09/06/2014, 17:09:00",1.1000000000000001e-05,"09/06/2014, 16:50:00"
M4.6,"09/09/2014, 01:30:00",2014-09-08T23:12:00-FLR-001,[{'activityID': '2014-09-09T00:16:00-CME-001'}],"09/09/2014, 00:28:00",4.6e-05,"09/08/2014, 23:12:00"
X1.6,"09/10/2014, 18:20:00",2014-09-10T17:21:00-FLR-001,"[{'activityID': '2014-09-10T18:18:00-CME-001'}, {'activityID': '2014-09-11T02:40:00-SEP-001'}, {'activityID': '2014-09-11T04:25:00-SEP-001'}]","09/10/2014, 17:45:00",0.00016,"09/10/2014, 17:21:00"
M2.1,"09/11/2014, 15:31:00",2014-09-11T15:20:00-FLR-001,['None Found.'],"09/11/2014, 15:25:00",2.1000000000000002e-05,"09/11/2014, 15:20:00"
M1.4,"09/11/2014, 21:30:00",2014-09-11T21:24:00-FLR-001,['None Found.'],"09/11/2014, 21:26:00",1.4e-05,"09/11/2014, 21:24:00"
M1.5,"09/14/2014, 02:36:00",2014-09-14T02:03:00-FLR-001,[{'activityID': '2014-09-14T03:12:00-CME-001'}],"09/14/2014, 02:16:00",1.5000000000000002e-05,"09/14/2014, 02:03:00"
M1.2,"09/18/2014, 08:53:00",2014-09-18T08:37:00-FLR-001,['None Found.'],"09/18/2014, 08:41:00",1.2e-05,"09/18/2014, 08:37:00"
M2.3,"09/23/2014, 23:28:00",2014-09-23T23:02:00-FLR-001,[{'activityID': '2014-09-24T00:24:00-CME-001'}],"09/23/2014, 23:15:00",2.3e-05,"09/23/2014, 23:02:00"
M1.0,"09/27/2014, 08:40:00",2014-09-27T08:32:00-FLR-001,['None Found.'],"09/27/2014, 08:37:00",1e-05,"09/27/2014, 08:32:00"
M5.1,"09/28/2014, 03:19:00",2014-09-28T02:39:00-FLR-001,[{'activityID': '2014-09-28T03:36:00-CME-001'}],"09/28/2014, 02:58:00",5.1e-05,"09/28/2014, 02:39:00"
M1.0,"09/28/2014, 18:00:00",2014-09-28T16:34:00-FLR-001,['None Found.'],"09/28/2014, 17:33:00",1e-05,"09/28/2014, 16:34:00"
M1.5,"10/02/2014, 18:15:00",2014-10-02T17:10:00-FLR-001,['None Found.'],"10/02/2014, 17:44:00",1.5000000000000002e-05,"10/02/2014, 17:10:00"
M7.3,"10/02/2014, 19:14:00",2014-10-02T18:49:00-FLR-001,[{'activityID': '2014-10-02T19:24:00-CME-001'}],"10/02/2014, 19:01:00",7.3e-05,"10/02/2014, 18:49:00"
M1.3,"10/09/2014, 01:47:00",2014-10-09T01:30:00-FLR-001,['None Found.'],"10/09/2014, 01:43:00",1.3000000000000001e-05,"10/09/2014, 01:30:00"
M1.4,"10/09/2014, 02:02:00",2014-10-09T01:54:00-FLR-001,['None Found.'],"10/09/2014, 01:58:00",1.4e-05,"10/09/2014, 01:54:00"
M1.2,"10/09/2014, 07:06:00",2014-10-09T06:48:00-FLR-001,['None Found.'],"10/09/2014, 06:59:00",1.2e-05,"10/09/2014, 06:48:00"
C3.0,"10/10/2014, 18:21:00",2014-10-10T15:42:00-FLR-001,[{'activityID': '2014-10-10T16:31:00-CME-001'}],"10/10/2014, 16:47:00",3e-06,"10/10/2014, 15:42:00"
M1.1,"10/14/2014, 18:46:00",2014-10-14T18:21:00-FLR-001,['None Found.'],"10/14/2014, 18:37:00",1.1000000000000001e-05,"10/14/2014, 18:21:00"
M2.2,"10/15/2014, 00:19:00",2014-10-14T19:07:00-FLR-001,"[{'activityID': '2014-10-14T19:00:00-CME-001'}, {'activityID': '2014-10-15T06:57:00-SEP-001'}]","10/14/2014, 21:21:00",2.2000000000000003e-05,"10/14/2014, 19:07:00"
M4.3,"10/16/2014, 13:05:00",2014-10-16T12:58:00-FLR-001,[{'activityID': '2014-10-16T13:26:00-CME-001'}],"10/16/2014, 13:03:00",4.3e-05,"10/16/2014, 12:58:00"
M1.6,"10/18/2014, 08:49:00",2014-10-18T07:02:00-FLR-001,['None Found.'],"10/18/2014, 07:58:00",1.6000000000000003e-05,"10/18/2014, 07:02:00"
X1.1,"10/19/2014, 05:48:00",2014-10-19T04:17:00-FLR-001,['None Found.'],"10/19/2014, 05:01:00",0.00011000000000000002,"10/19/2014, 04:17:00"
M3.9,"10/20/2014, 09:20:00",2014-10-20T09:00:00-FLR-001,['None Found.'],"10/20/2014, 09:11:00",3.9e-05,"10/20/2014, 09:00:00"
M4.5,"10/20/2014, 16:55:00",2014-10-20T16:00:00-FLR-001,['None Found.'],"10/20/2014, 16:37:00",4.5e-05,"10/20/2014, 16:00:00"
M1.4,"10/20/2014, 19:04:00",2014-10-20T18:55:00-FLR-001,['None Found.'],"10/20/2014, 19:02:00",1.4e-05,"10/20/2014, 18:55:00"
M1.7,"10/20/2014, 20:13:00",2014-10-20T19:53:00-FLR-001,['None Found.'],"10/20/2014, 20:04:00",1.7e-05,"10/20/2014, 19:53:00"
M1.2,"10/20/2014, 23:13:00",2014-10-20T22:43:00-FLR-001,['None Found.'],"10/20/2014, 22:55:00",1.2e-05,"10/20/2014, 22:43:00"
M1.2,"10/21/2014, 13:40:00",2014-10-21T13:35:00-FLR-001,['None Found.'],"10/21/2014, 13:38:00",1.2e-05,"10/21/2014, 13:35:00"
M8.7,"10/22/2014, 02:28:00",2014-10-22T01:16:00-FLR-001,['None Found.'],"10/22/2014, 01:59:00",8.7e-05,"10/22/2014, 01:16:00"
M2.7,"10/22/2014, 05:21:00",2014-10-22T05:11:00-FLR-001,['None Found.'],"10/22/2014, 05:17:00",2.7000000000000002e-05,"10/22/2014, 05:11:00"
X1.6,"10/22/2014, 14:50:00",2014-10-22T14:02:00-FLR-001,['None Found.'],"10/22/2014, 14:28:00",0.00016,"10/22/2014, 14:02:00"
M1.4,"10/22/2014, 16:03:00",2014-10-22T15:51:00-FLR-001,['None Found.'],"10/22/2014, 15:57:00",1.4e-05,"10/22/2014, 15:51:00"
M1.1,"10/23/2014, 09:56:00",2014-10-23T09:44:00-FLR-001,['None Found.'],"10/23/2014, 09:50:00",1.1000000000000001e-05,"10/23/2014, 09:44:00"
M4.0,"10/24/2014, 07:53:00",2014-10-24T07:37:00-FLR-001,[{'activityID': '2014-10-24T08:12:00-CME-001'}],"10/24/2014, 07:48:00",4e-05,"10/24/2014, 07:37:00"
X3.1,"10/24/2014, 22:13:00",2014-10-24T21:07:00-FLR-001,['None Found.'],"10/24/2014, 21:41:00",0.00031,"10/24/2014, 21:07:00"
X1.0,"10/25/2014, 18:11:00",2014-10-25T16:55:00-FLR-001,['None Found.'],"10/25/2014, 17:08:00",0.0001,"10/25/2014, 16:55:00"
X2.0,"10/26/2014, 11:18:00",2014-10-26T10:04:00-FLR-001,['None Found.'],"10/26/2014, 10:56:00",0.0002,"10/26/2014, 10:04:00"
M1.0,"10/26/2014, 17:30:00",2014-10-26T17:08:00-FLR-001,['None Found.'],"10/26/2014, 17:17:00",1e-05,"10/26/2014, 17:08:00"
M4.2,"10/26/2014, 18:20:00",2014-10-26T18:07:00-FLR-001,['None Found.'],"10/26/2014, 18:15:00",4.2000000000000004e-05,"10/26/2014, 18:07:00"
M1.9,"10/26/2014, 18:56:00",2014-10-26T18:43:00-FLR-001,['None Found.'],"10/26/2014, 18:49:00",1.9e-05,"10/26/2014, 18:43:00"
M2.4,"10/26/2014, 20:45:00",2014-10-26T19:59:00-FLR-001,['None Found.'],"10/26/2014, 20:21:00",2.4e-05,"10/26/2014, 19:59:00"
M7.1,"10/27/2014, 00:44:00",2014-10-27T00:06:00-FLR-001,['None Found.'],"10/27/2014, 00:34:00",7.1e-05,"10/27/2014, 00:06:00"
M1.0,"10/27/2014, 02:11:00",2014-10-27T01:44:00-FLR-001,['None Found.'],"10/27/2014, 02:02:00",1e-05,"10/27/2014, 01:44:00"
M1.3,"10/27/2014, 03:48:00",2014-10-27T03:35:00-FLR-001,['None Found.'],"10/27/2014, 03:41:00",1.3000000000000001e-05,"10/27/2014, 03:35:00"
M6.7,"10/27/2014, 10:26:00",2014-10-27T09:59:00-FLR-001,['None Found.'],"10/27/2014, 10:09:00",6.7e-05,"10/27/2014, 09:59:00"
X2.0,"10/27/2014, 15:09:00",2014-10-27T14:12:00-FLR-001,['None Found.'],"10/27/2014, 14:47:00",0.0002,"10/27/2014, 14:12:00"
M1.4,"10/27/2014, 17:47:00",2014-10-27T17:33:00-FLR-001,['None Found.'],"10/27/2014, 17:40:00",1.4e-05,"10/27/2014, 17:33:00"
M3.4,"10/28/2014, 03:08:00",2014-10-28T02:15:00-FLR-001,['None Found.'],"10/28/2014, 02:42:00",3.4e-05,"10/28/2014, 02:15:00"
M6.6,"10/28/2014, 03:41:00",2014-10-28T03:23:00-FLR-001,['None Found.'],"10/28/2014, 03:32:00",6.6e-05,"10/28/2014, 03:23:00"
M1.6,"10/28/2014, 14:23:00",2014-10-28T13:54:00-FLR-001,['None Found.'],"10/28/2014, 14:06:00",1.6000000000000003e-05,"10/28/2014, 13:54:00"
M1.0,"10/29/2014, 08:52:00",2014-10-29T06:03:00-FLR-001,['None Found.'],"10/29/2014, 08:20:00",1e-05,"10/29/2014, 06:03:00"
M1.2,"10/29/2014, 10:06:00",2014-10-29T09:54:00-FLR-001,['None Found.'],"10/29/2014, 10:01:00",1.2e-05,"10/29/2014, 09:54:00"
M1.4,"10/29/2014, 14:51:00",2014-10-29T14:24:00-FLR-001,['None Found.'],"10/29/2014, 14:33:00",1.4e-05,"10/29/2014, 14:24:00"
M1.0,"10/29/2014, 16:33:00",2014-10-29T16:06:00-FLR-001,['None Found.'],"10/29/2014, 16:20:00",1e-05,"10/29/2014, 16:06:00"
M1.3,"10/29/2014, 18:52:00",2014-10-29T18:47:00-FLR-001,['None Found.'],"10/29/2014, 18:50:00",1.3000000000000001e-05,"10/29/2014, 18:47:00"
M2.3,"10/29/2014, 21:25:00",2014-10-29T21:18:00-FLR-001,['None Found.'],"10/29/2014, 21:22:00",2.3e-05,"10/29/2014, 21:18:00"
M1.3,"10/30/2014, 00:40:00",2014-10-30T00:34:00-FLR-001,['None Found.'],"10/30/2014, 00:37:00",1.3000000000000001e-05,"10/30/2014, 00:34:00"
M3.5,"10/30/2014, 01:56:00",2014-10-30T01:19:00-FLR-001,['None Found.'],"10/30/2014, 01:35:00",3.5000000000000004e-05,"10/30/2014, 01:19:00"
M1.2,"10/30/2014, 04:36:00",2014-10-30T04:17:00-FLR-001,['None Found.'],"10/30/2014, 04:28:00",1.2e-05,"10/30/2014, 04:17:00"
